,alpha_beta,alpha_delta,alpha_mu_inf_SC,alpha_mu_inf_SA,alpha_mu_inf_AI,alpha_mu_inf_AC,alpha_mu_inf_AA,alpha_mu_susc_C,alpha_mu_susc_A,omicron_beta,omicron_delta,omicron_mu_inf_SC,omicron_mu_inf_SA,omicron_mu_inf_AI,omicron_mu_inf_AC,omicron_mu_inf_AA,omicron_mu_susc_C,omicron_mu_susc_A
0,0.19865811505608447,-0.1673601443313399,1.3689499871050554,1.6275199448528057,2.543105778908851,1.3331105228105857,0.05745009374015784,0.4029073134753278,0.09407823100311956,0.0678364654196513,0.6906083261177032,7.967488170048557,1.4447114011117543,0.8084138537122096,4.98365018148607,1.1741017326701926,0.32758233630408834,0.955355298704217
1,0.22788176781578967,0.39358556435113745,1.3161595329444835,1.0797272335266563,0.23005231214779195,1.5915357490078128,0.33938753467059846,0.4069017031625231,0.07566455518689966,0.2135789866980876,0.471922515277448,0.3811833211557613,0.07218971614979158,0.883241323325196,0.4689688578328879,0.2886286817124645,0.21124378992964554,0.2811789064945506
2,0.1685922450814676,-0.2863578339427482,0.7977893116208806,0.6818293157861933,1.285297961408105,1.139840528475472,1.0434169831056426,0.248008630442488,0.4149833157274537,0.11586540510909549,0.7082688789566116,1.5861817770150277,0.2769638176767747,0.10655313743301541,1.5478680814263746,0.4871726387522701,0.36808367982513923,0.5920635009099607
3,0.11437307075098105,-0.24613645898508524,4.33981270692338,1.3751469527020435,1.2755487262337364,2.2486600178879286,0.21802726405635037,0.8222819321270124,0.0211528666213255,0.059333291068655036,0.9761179417170722,2.0932520043158758,0.6702293418698059,0.27691052561457363,4.873984730871917,0.38988159723472016,0.21682031429979445,1.278546189260835
4,0.08339659025306997,0.49309221986864415,4.388459347478784,1.6914804623107618,3.444936351608232,0.4402259877671314,0.3067862999246073,0.7110225516927,0.27893985572216545,0.0786177206725065,-0.01009962984885382,0.7670465688015149,2.14181899212595,2.9411337043014205,5.778831600103252,1.1468202959852964,0.12224224897209075,0.719803131312588
5,0.09938080946212441,0.560942709791677,1.7956036754225608,0.41495063153013495,1.6409429781511198,5.545802069854121,0.20895964248787066,0.6061870033661879,0.304356603083358,0.05655753673604576,3.1370748258208767,2.492553314498491,1.1091631180342327,0.14720730249344638,13.199582644629693,0.7852599457217075,1.832686104988875,1.7370307830662142
6,0.19907976438494385,-0.6595756810868139,1.0163385366143274,0.16884563191095314,0.9098744239053108,0.8363617422661149,0.6141526834430222,0.609289712316478,0.09908166440536911,0.0962409241226551,0.886409729163983,4.969488000535875,0.7318245713521846,1.29959340033834,3.0328560260586843,0.6704384961459489,0.3602450809068152,0.23932156727293386
7,0.2046081826687184,-1.459552082939919,2.060686365453482,1.136570834818505,0.7237592341664058,0.9185403406103937,0.3651698238503023,0.6815593768474192,0.34138075730021095,0.09535127019841909,1.7324724596290695,1.3151660514763728,0.053403334278596684,1.0518754142845077,2.4761784036318426,1.6550231862667495,0.08594404568909969,1.1767469683220864
8,0.168989662013721,-0.7692470701610797,0.7800269273913615,0.679505659981869,0.9915300683690934,2.1096805122307165,0.5729353054376309,0.43684067249570546,0.34469340767966855,0.08513297493929486,1.8224719492149575,2.0256393126163927,2.0351731688303913,1.6500161553951218,11.624014639413534,4.261507124247059,0.011830484198589213,0.25225622312795737
9,0.12138018328728668,-0.6978541459093179,1.9940801013525973,2.306856456026174,1.0211223483386211,0.5561604038417675,0.336572029793338,0.23134149782221142,0.26566989700722765,0.16971875297572153,-0.04845224955736793,1.33562173447112,0.1826831490952679,0.5275754525453532,0.9852917188083614,1.0744517544081011,0.29072465209458775,0.3345617090546432
10,0.12383708797027154,0.08541451336724815,3.3623264236627572,0.30020661608872906,1.2621587548425857,1.680932208150929,0.11067675657341547,0.2136004233964021,0.0737806514624786,0.04553625519029352,2.505489849165448,3.7180425113220053,0.2832405082824538,0.819146367013235,1.5524764503705835,3.861287201456525,0.22138891829575513,0.3818220553390971
11,0.15958577256289486,0.0593947755317252,2.4255916997667195,1.9087173078765678,1.5870032783741321,1.057116826195934,0.1475919490179835,0.5760245107000479,0.2198038993333949,0.036016918614260214,2.16794008349437,7.0641663584183325,4.369275795888916,3.354399120478765,2.5684787541696616,0.8997222635921994,0.2978852704190137,0.7170957047227392
12,0.10933086346349653,-0.07196623035565623,2.3674881216623027,1.0407427882420763,2.087201507324975,1.7478083852934316,0.9008886718237676,0.9300651192587249,0.19387884219087748,0.08810588313004147,0.4906656263203644,2.0909748024485904,0.2423295403017207,3.896212042791495,7.2313058906471595,0.25186704791471964,0.26478470288929495,0.43805849014158416
13,0.0842400195522203,-1.070026426125266,2.298857551413114,1.3835106174942988,5.998711327211965,1.5125203463942773,0.6228526079226724,0.6470332281359679,0.45334079325050175,0.03899625775045578,1.7297047516693924,4.41932286542242,0.5736792909009912,0.2502962081676561,9.377051816586153,3.764617170916198,0.17346445450201436,0.25749441871110035
14,0.16573153034151702,0.5782772991374504,1.5400454796023726,1.1174591814360013,0.5638943877176119,2.8361078993554343,0.48147212735129064,0.5729211902405533,0.15438545385552271,0.040235335237681275,1.1501158239222102,9.455631248484233,0.10114462524122415,0.6098547970055284,2.354106431736596,1.2302693015696298,0.024460337921439805,0.6127036262904233
15,0.13719971741734818,-0.842077960084359,2.082996843836318,0.9429271931648752,0.9405475086731225,0.7414299328976643,0.10757161080841325,0.8341952024431356,0.22310032500778756,0.05652765165959033,0.4544038540402914,3.260664973911039,0.7897245848475045,0.6067607834003256,20.099008689233212,0.6461796269872916,0.13813642501136228,0.412054874869502
16,0.16063060162397613,2.3667583487695696,3.248463643288425,1.043802615754163,0.9924795189562438,2.60268940343629,0.1384572250431858,0.7543320074406115,0.3118291962232504,0.03200820675006286,1.0531983107339384,1.0084499553813553,0.27426913124732233,8.060038809547496,0.5649280144858709,0.5614961126790646,0.11867195159807759,0.5414731539556106
17,0.17536581886860067,-0.9374980621275159,1.8227204961590266,0.6583160824615454,0.7161077522294614,0.545193044206891,0.27962507504435663,0.36900333804378577,0.1865156900600172,0.019850732438135687,1.0271310818730979,6.4347252909607455,0.5504085905274723,0.6273307757732274,1.0177632586489171,0.7345749098524579,0.1527085073745588,1.358854353852954
18,0.19453068055756373,0.49757034236544445,1.6353388743759045,0.3494391571424794,0.7385380665403307,0.6380056089276455,0.23023212259840092,1.4658268964433405,0.24958991238998754,0.017189485056780307,3.728434079887598,8.61601387357276,0.6897164829973803,2.3267827373616643,4.710984708850992,6.36024321073304,0.08478963640756229,1.0045283496084878
19,0.13150914745390177,0.5582944775835375,1.425444513520953,0.7178378390747097,1.1337862213613328,2.7273538328102775,0.1383719163680695,0.34178730635326526,0.4472452412997206,0.03207414695456889,0.8533816981189397,1.3277859574130493,0.24213489417625753,0.8866934147436478,4.112031910804318,0.041425957345387655,1.116719189158361,0.7420452905733345
20,0.11795275893295919,0.05218384485159219,1.914941511099005,0.09251386455455295,0.9499331601672795,1.4544642392565261,1.4216591315319584,0.19793551907239867,0.11898432341596125,0.1409070603360071,2.004249473426724,0.6447245990515157,0.8620869082731925,0.8427839157430012,0.6384010679634808,1.2969193142039046,0.6954642015990938,0.4008593835874622
21,0.21492890492123204,-0.6775840038436993,1.7114726924681374,1.105681135172612,1.1125329585971986,2.7230584619136406,0.4275631347735667,0.2643357292764218,0.15191201601352627,0.08362572531690884,1.254211624797783,2.489984164168061,0.7952979288394124,1.3009353021761039,14.424202152925787,1.5427691802353878,0.021982851542712747,0.8703753956760282
22,0.09031173036363431,-1.6784164676951978,1.975142249832198,1.0021291266575996,1.7997289328682526,1.9053763051647072,0.1760826401470562,0.822302872735348,0.14944778928281494,0.015526652088034087,2.5765613532424823,8.720925908987125,5.433902920045365,0.7614119473791058,2.059711571380709,1.4198554296830785,0.19969241534610088,1.336084223270752
23,0.10265246182050473,0.3279159070455743,2.8939204640906966,3.4224532221242647,3.0035539496929977,3.0077720399828785,0.4330553854542318,0.6984938248664295,0.2566437391107396,0.1621333586618479,1.2404632651672949,1.1438733065263,0.2664553021633576,0.2719478487370235,1.8649729666613684,0.6413228712755222,0.4424598229078079,0.49516836331186315
24,0.2664225616521009,-0.4991926958227364,0.6091571065521312,0.8965225308035102,1.0808614334048354,0.4086911843276806,0.4044302364751375,0.4599521116915064,0.2894188549935487,0.14107823280283152,0.6487570441513231,1.8029851457429247,0.3827321563741273,0.9101857786800154,1.4619632536335554,0.5525973714529455,0.41645422848613056,0.3176751215812933
25,0.1037572117142501,0.31942635045325807,2.118835527160478,1.3116031177574732,0.9194635727535532,1.6261812670768374,0.1986575269186151,0.5417903471068695,0.06628370616428596,0.028832227397420737,1.4578176316089473,8.782496330677114,0.7759460197031619,2.0706162702183217,3.6912546531158714,2.9307393718108288,0.028474158019469724,0.980817365566776
26,0.19412968472025852,-0.14068627524214028,2.1815230088800717,1.437057784537313,0.7415544367926976,0.5212710290169331,0.2410127874468649,0.4751489772440989,0.09347003539153419,0.06814855363578635,1.1764869885199178,0.6560325604645735,2.5471296087504633,0.18547502474641547,4.757513247222513,2.4930287145062464,0.319846092626915,0.5238516334421175
27,0.15496125965327892,-0.043988284404965314,1.4928898549832879,1.0332950941618804,0.8677839607240722,0.48168377836263104,0.9347289811592591,0.2065732433065465,0.4584038541360948,0.03625313817146454,-0.043027930802067495,4.577761382940631,3.3414906662436423,1.3579424157037896,3.4598425087799827,0.032731404649277464,0.8943168856184318,0.0717532023212572
28,0.1147708736238217,0.5389567048021917,2.2134697273546964,0.6245309071128088,3.7590252123632486,5.039198300640313,0.11942559682982554,1.391530440949156,0.038000120517883595,0.004336682783863069,2.290525161179466,1.6661174056398294,0.17181030090967067,1.2109867140660022,11.526740305604756,2.548666527786868,0.5911277651175691,1.2645542649494599
29,0.15705434487634234,-0.902232254807392,2.0012435192063207,0.969701194977419,1.981055073572539,0.6009725410914154,0.2701985663076037,0.7405786055574298,0.3129905520704918,0.06767406091487753,1.7893914040552013,0.45618442527181857,2.242886859106601,1.1190845943263892,0.7739735633847842,1.6340582582383139,0.5093605545781047,0.07758247046819478
30,0.20058932770888654,-0.5681444625090772,3.3119892122446135,1.4923368717498848,0.617668429398719,1.8689486661464958,0.12711563932638403,0.27983583104796467,0.04209942580731803,0.05963367369874441,1.9088333189886695,3.10004322056954,0.7051115947137675,0.22308310123693756,2.13000574879064,1.4332189546991743,0.6096815936978469,0.9314718990964644
31,0.16767874125629983,0.02804508626097102,2.6127277761916736,2.3433052692083485,1.4463085103205635,0.966862582228065,0.4465614511410442,0.3875894074567619,0.14452263398450613,0.07035244296209975,2.2729925951080037,11.658191025513277,0.5149499125602516,2.7214501178531063,0.950559691770312,3.617139852437475,1.4972719500593874,0.47319075990424164
32,0.10964586604076154,-1.2357928187079892,1.9003670448488135,1.2023136498473992,0.8477844819438093,2.074840089648194,0.30101827235198736,0.5798691050629238,0.28305704893419786,0.06826802275795263,-0.2026615639178253,3.654844380648675,0.2059836540497126,0.6591556698198326,7.508448339122084,1.6249305178459017,0.1231110537973403,0.7905980817086651
33,0.09994976502785645,-0.006504181084850718,3.792074945828959,0.42520125623306343,1.981908251866026,2.2319377294636333,0.7933798521485957,0.4464370218644316,0.1651089032553525,0.08454365737497681,1.4723362682099854,1.1525856252072944,0.12143781135978325,2.189955671107396,1.6922295276235098,1.5323288785741953,0.6603477170954013,1.676558265746479
34,0.19676513244193522,-0.571006110798622,0.8711418298670793,0.47391684630545433,0.3578741433655643,2.227369461563862,0.19175158067061482,0.31864534845903647,0.1917545628354657,0.011818676744290746,1.7786058698558236,6.245607753922675,1.1033028499432231,0.15268941660451946,6.295398761758131,1.6130332807303267,0.03846398265747996,0.32853648790297274
35,0.1496179125791887,-0.9745087726047439,1.5344626871718228,1.3247237473377576,0.5557044808916355,1.048502784395314,0.30358788609929027,0.7486551564466128,0.3739826447629909,0.07849469849992097,2.0715872540078584,6.35466867739627,0.7472117458910283,1.033974407506653,2.5620135795759733,2.4071451223074556,0.1134857070452884,1.1083626563121396
