,rel_omicron_beta,rel_omicron_delta,rel_omicron_mu_inf_AA,rel_omicron_mu_inf_AC,rel_omicron_mu_inf_AI,rel_omicron_mu_inf_SA,rel_omicron_mu_inf_SC,rel_omicron_mu_susc_A,rel_omicron_mu_susc_C
0,-1.074485444039807,0.8579684704490431,3.0173420154024613,1.3186476401208338,-1.1460672380851749,-0.11914777072416677,1.761325269322173,2.3179566309583532,-0.20696711207868113
1,-0.06482020687800408,0.07833695092631054,-0.162001600944046,-1.2219183438991539,1.3452917354309917,-2.705166126514421,-1.2391929128832337,1.3126813212519042,-0.6555587716793702
2,-0.3750538318992344,0.9946267128993598,-0.761637612530667,0.30599018750035645,-2.4901020432804826,-0.9008924808624295,0.6872404670646654,0.35537557782597395,0.3948467574179448
3,-0.656295106404755,1.2222544007021574,0.5812229767469422,0.7735773312246019,-1.5274372967391652,-0.718695923970868,-0.7291123524785268,4.101703487816611,-1.3330143535531322
4,-0.05901029640021701,-0.503191849717498,1.3185970180296216,2.574668592299213,-0.1581103079808291,0.23605130565101207,-1.744185983527574,0.9479815581948069,-1.7606994243204286
5,-0.5637005619649644,2.5761321160292,1.3238736688392694,0.8671439535156751,-2.4111845278595028,0.9832015092419276,0.32796633776588513,1.7417324376616268,1.1063494616998024
6,-0.7268508965778836,1.5459854102507968,0.08768840283482848,1.2881988118544196,0.3565001312765425,1.466555951761395,1.5871103178162034,0.8818637142784964,-0.5255092925602984
7,-0.763529192822637,3.1920245425689884,1.5112077813415483,0.9916858605827494,0.37387117121340047,-3.057897784820397,-0.44907618187562964,1.237510659280183,-2.070686921064417
8,-0.6856230964109579,2.591719019376037,2.006605356385686,1.7065366656609002,0.5092910843539351,1.0969706263206678,0.9543121982643922,-0.3122100191278602,-3.6088889279109284
9,0.3352150423330758,0.64940189635195,1.1607536325426386,0.5718810097899065,-0.6603657497328335,-2.5358878087003855,-0.40078593977879984,0.23056679460948176,0.22848164210076743
10,-1.0004580690774358,2.4200753357981997,3.5521420288009566,-0.07949715946006575,-0.4323160492322891,-0.05817456858180619,0.10056420077588825,1.6438581544300546,0.03581387688017994
11,-1.488592747133335,2.1085453079626446,1.8076347549600302,0.8877685722201603,0.7484251473647727,0.8281658237096421,1.0689595186667153,1.1824735288997155,-0.6594417993087152
12,-0.21583942060884903,0.5626318566760207,-1.2744803286420527,1.4200569891463193,0.6241806330513469,-1.4573914200476459,-0.12419915892124375,0.8151190014197285,-1.2563375505550447
13,-0.7702044135179325,2.7997311777946585,1.7990915476294067,1.8244880453519938,-3.1766548971713333,-0.8803089600496532,0.6535742037318315,-0.565646100665692,-1.3164249452144727
14,-1.4156235964817199,0.5718385247847598,0.9381400263254317,-0.18627143330514603,0.07835391299237089,-2.402261373457259,1.814798515139857,1.3784289158834018,-3.1536952229772393
15,-0.8867077273146622,1.2964818141246504,1.7929207526375712,3.2998451105062316,-0.4383275448943859,-0.17730481407902252,0.44812350722820565,0.6135349736929796,-1.798225646793494
16,-1.613114998106284,-1.3135600380356312,1.4000434175824341,-1.5276022602983592,2.0944672740333408,-1.3365158300532403,-1.1697677050736264,0.5518378981267251,-1.8494696221314468
17,-2.178633280526778,1.9646291440006136,0.9658422897742003,0.6242226732108022,-0.13235669298538652,-0.1790242901808326,1.2613789871801573,1.9858818722967062,-0.8822747665196007
18,-2.4262920283040867,3.2308637375221534,3.318733867601297,1.999305158126672,1.1475691465638271,0.6799511578544595,1.6617725045746652,1.3924541858891526,-2.8500014734959147
19,-1.411026096774418,0.2950872205354022,-1.2060374328027645,0.41058544141366227,-0.24581866954129128,-1.0867487078584832,-0.07097084297352113,0.5063031973921085,1.1839617377642517
