,npe_median,npe_median,mcmc_median,mcmc_median,median_diff,median_diff,mcmc_calibration_error,mcmc_calibration_error
variant,alpha,omicron,alpha,omicron,alpha,omicron,alpha,omicron
parameter,,,,,,,,
beta,0.3267335146665573,0.335462749004364,0.5128435,0.6467875000000001,-0.1861099853334427,-0.31132475099563606,0.21260061919504647,0.10333333333333339
delta,1.4560890197753906,1.2232578992843628,0.9578855,1.07756,0.4982035197753907,0.14569789928436272,0.13402476780185757,0.035789473684210565
mu_inf_SI,0.17154823243618011,0.2641126960515976,0.44067599999999996,0.8237829999999999,-0.26912776756381984,-0.5596703039484023,0.07396284829721367,0.07640350877192982
mu_inf_SC,1.1420284509658813,0.9461450278759003,0.756357,1.113045,0.3856714509658814,-0.1668999721240998,0.14495356037151705,0.03184210526315792
mu_inf_AI,0.9469594061374664,0.9097427725791931,0.488174,0.9215665,0.45878540613746643,-0.01182372742080684,0.041609907120743056,0.007280701754385943
mu_inf_AC,2.1570922136306763,2.2205108404159546,0.5192300000000001,0.640048,1.6378622136306762,1.5804628404159546,0.05713622291021672,0.02482456140350875
mu_inf_AA,1.8396132588386536,0.9029447734355927,0.243574,0.81965,1.5960392588386536,0.08329477343559266,0.14495356037151705,0.045087719298245676
mu_susc_I,0.10656601190567017,0.2031194195151329,0.900146,0.943592,-0.7935799880943298,-0.7404725804848671,0.04917956656346756,0.01842105263157895
mu_susc_C,0.6426179111003876,0.7025576233863831,1.323875,1.69764,-0.6812570888996123,-0.995082376613617,0.03780185758513932,0.029824561403508774
mu_protect_acq,0.9224201738834381,1.495907485485077,0.95062,0.5437894999999999,-0.02819982611656191,0.952117985485077,0.015154798761609887,0.00938596491228072
mu_protect_transm,3.3138256072998047,3.203263282775879,0.9525215,0.8810965,2.3613041072998047,2.322166782775879,0.1386842105263158,0.018771929824561384
