,beta,delta,mu_inf_SC,mu_inf_SI,mu_inf_AI,mu_inf_AC,mu_inf_AA,mu_susc_C,mu_susc_I
0,0.20310873353611303,-0.9450066089630127,2.0357634772117947,0.853303482575751,0.2023359900259448,0.730231305931696,0.25822443172389353,0.581878373654564,0.5282685468206073
1,0.15404436536507105,-0.20801083743572235,3.0623269755178035,1.0625289659154822,0.37533283623913555,0.1394861810189719,0.1978623000141668,1.0727828048850294,0.7642638086720639
2,0.15017487248797787,-0.34760573506355286,2.127562182541381,0.9004814781914229,0.24216294220759968,0.9076833780998633,0.40213932099118344,0.9428599052184943,0.4672804929115223
3,0.1351500716215885,-1.3622939586639404,1.697660958139134,2.133812681320968,0.9497998568616469,1.360888066129848,0.38704420571800613,1.0365897206392327,0.8088156833691664
4,0.1687461611387618,-1.3351068496704102,2.8799227109103245,1.1916090622659685,0.5604720766784784,1.5868809378264566,0.16046324958466882,0.49325444259688794,0.20775869506304767
5,0.21865552966560012,-0.5740314722061157,2.362366296012774,0.8614553196226454,0.6556542390400864,0.32918100151188473,0.16789342855882256,0.6941767834164118,0.7106486019505998
6,0.2455035528264731,1.1844233274459839,2.8861564688482457,0.5417720311981838,0.33923965020021396,0.9862088626680926,0.432607013429195,0.5902490852243519,0.6845010526764571
7,0.1320610671723557,-1.8090038299560547,2.9693735697034693,0.37769430593444886,0.49281390021060884,0.7675807104607848,0.23436215711838812,0.7420306726344428,0.41680042873261336
8,0.17860203528290022,-0.22393816709518433,2.630759165080371,1.6781307510526897,0.3494223711594284,0.7724486324750205,0.22741136943833068,0.8975313877086598,0.6248482466960363
9,0.14914108395918063,-0.5939818024635315,2.742510388413128,0.5233292024134033,0.397074566397218,0.5079916539393938,0.2386487712218915,1.6971115936082404,0.08246686476595864
10,0.16922965924305558,-1.2443279027938843,1.6797913768456627,0.5382997892589936,0.2659642463083561,0.3691208414006801,0.07198762063988938,0.8901480103201258,0.7889884989128738
11,0.16312663336848218,-0.6660411953926086,2.681268911317322,0.7260599303948716,0.566972552849988,0.2747814348437601,0.38384921815761136,1.295448171646709,1.3265195333609003
12,0.18372986399008812,-1.0670936107635498,3.868520957488872,0.9177939955096212,0.9180144549146686,0.7414777353340857,0.06291606268847412,0.8916732904650648,0.21672003141001855
13,0.18213934369388748,-0.5467314720153809,3.3909309583640668,1.721462682800635,0.9136154067832648,0.36315713326100973,0.2540159171727054,0.9073894143659424,0.5022748136487132
14,0.129785583526965,-0.733527421951294,3.8275273534971883,0.291713377571356,0.35024405225376976,0.9155996513944272,0.07474403528584804,0.8829499324245383,0.24596580975005983
15,0.20630838659219347,-0.4929702579975128,2.070493568661774,0.8619785476798753,0.4384591195569503,0.6351698434217313,0.043525938903495806,0.9797369376999997,0.6881813308297213
16,0.16035088864235617,-0.2952990233898163,2.269588676215423,0.4166171507614663,1.0276211369833124,1.1054297745412167,0.28356190048731544,0.9138614640557571,0.7178314634944184
17,0.13427943845943388,-1.6793253421783447,2.8662300335466164,0.48234963626727306,0.3050573092160827,0.7345909100125018,0.08449606933460595,0.558732719995423,0.9635647013798503
18,0.16809501500004395,-1.2014524936676025,3.847137549473799,1.0515007029829964,0.15286526213232007,0.6397987536783889,0.15401032316222854,0.6108776115521923,0.6062642776578073
19,0.20099839981748968,0.37173178791999817,3.0477238166763017,0.6542218226573344,0.41289165286890545,0.2762766624308706,0.30990888000375844,0.9084391207984251,0.7490030945653781
