,beta,delta,mu_inf_SC,mu_inf_SI,mu_inf_AI,mu_inf_AC,mu_inf_AA,mu_susc_C,mu_susc_I
0,0.045582612456139614,-1.3131464719772339,2.860939205152981,0.05988683641971777,1.2070118423716691,1.967710069323127,1.0676432095994508,0.6326423219147068,10.257785964726251
1,0.09705498847753444,-1.8955413103103638,2.2402466413268574,0.08744277692403207,0.7370488135377458,1.7729706137680088,0.32749403320113796,0.39924232157848993,3.4235073432718206
2,0.14515789610852126,-0.9887725114822388,2.0270620797508334,0.27128164009867245,0.45322457271945527,4.0257492529894705,0.7037664652019897,0.15364104376261156,1.3164622182476604
3,0.20177803742024455,-0.48093223571777344,2.1901046225647587,0.09327807346097759,0.5155221817436068,3.2697245119593075,0.23010047101897885,0.9131036323560289,2.7388097205883084
4,0.18458857318038885,-0.5598490238189697,1.4518414056947266,0.11427284345014663,0.5068205253512641,3.203168075553774,0.4826778748307936,0.3554670858856657,3.0148442459782916
5,0.042282275545301465,-0.27205270528793335,5.718107645370015,0.15744368970057884,0.6980780780231605,3.9261964471671758,1.4831644888215516,0.4064022266146736,5.228775856750432
6,0.1513065986255565,-0.7007426023483276,3.5930339047718856,0.13754315214048207,1.017757568833569,2.886364286553803,0.5186868650515402,0.2841442848190056,0.9246773825794643
7,0.14359208643185487,-1.5036566257476807,2.9337376425689636,0.02305020614014271,1.6882068299818735,2.971521924435972,0.8138163045406961,0.350904026303486,2.490215644281634
8,0.046505015843731054,-0.8554980158805847,3.863440428630368,0.22796597400789223,2.5463655063242063,1.7281087248754525,1.048502688990575,1.5707867217951772,3.4402411893393756
9,0.13417200806599103,-0.9764978885650635,2.1628154518394465,0.09015989204585775,0.7960167391752155,0.5599782754800267,1.9110433467949677,0.7305596248440516,3.3865914936858244
10,0.07839269273123653,-0.8730252981185913,2.647113638562757,0.14973380161604674,1.9444512731311325,0.6140759901925068,0.35408479669106374,0.49926814311273066,4.2364067831618195
11,0.08588545726863792,-1.2567700147628784,3.8171592987833813,0.22876939456913137,1.3934182068942942,4.345431883686495,1.285414568685103,0.294509172505045,2.3048657907755907
12,0.0793143593780152,-0.9791919589042664,5.961066168762865,0.08449125471334382,1.9188014284442674,2.000991713263053,1.6207545749765155,0.10808087925555108,4.427278148194471
13,0.09585924301877088,-0.6881570816040039,3.309277930354339,0.26010381419582024,0.1827561797698697,1.5141875041756998,2.541728296149046,0.7555220331859537,1.1545385768428496
14,0.0828890546437199,-0.6912461519241333,2.1182917677225395,0.37002238847402946,0.9956739989348813,3.1209065242646363,1.5866562186516189,1.0346088552431663,3.8026973532387176
15,0.07507050249180879,-1.387916922569275,5.153375282040549,0.07511083797439834,0.33199701404973586,2.8223217643676817,0.3966462267154015,0.4390571115907717,1.970467367894437
16,0.0754526139074628,-0.6999987363815308,4.655749858460209,0.07246900271207067,1.2552307302405026,4.119948836554156,0.542728171990505,0.5326828558317962,2.4017779102396193
17,0.09555081431335277,-0.2848174571990967,3.02718346290112,0.2711392552376685,0.7884385173809009,1.986800672771916,1.4369480285208849,0.43109764910898585,1.9911631681565942
18,0.18958096843436062,-0.11692783236503601,2.5742874914672673,0.14722980164822175,1.3098990744477406,2.514361327584852,0.5223294606997042,0.2846873411511864,1.8506027880348617
19,0.10829176790394197,-2.1317896842956543,1.6079260607335135,0.14281376481812624,0.40983777009911787,1.585330493958455,2.3889046289354354,0.5963750573224681,1.9703641329212322
20,0.06783851410071746,-1.1557756662368774,4.773193511621545,0.18273722672883067,0.6987017795721966,1.4242260961917397,0.8652715705116955,0.879774502535607,2.129087523631233
21,0.1304272886554517,-0.1427016258239746,3.2771551625052315,0.19619015120113548,1.4816984672918976,2.7951317357072987,0.5461159497809362,0.42257669071153575,2.491664430075271
22,0.1363220216414569,-0.7518986463546753,2.159598095014316,0.2624877463727521,1.6512997656638941,1.8753441077362838,0.6388905280071698,0.15990951289110353,2.783608312428577
23,0.04871519533258451,0.0629226565361023,8.419644030174458,0.027767797896633185,0.47297879069473847,9.977951869490072,0.46188330956522,0.43998665255913066,3.9563824717594285
24,0.1375929078804692,-0.5341072082519531,1.8913871561402136,0.1786725650693079,0.3153873631206737,0.7919413695696409,0.9556197612690499,0.4072961091959931,3.9816529959084295
25,0.14650462440733333,0.3681422472000122,3.0639625061050175,0.3642373060226436,1.2342908621095934,4.722899917959154,0.7869604558725241,0.2500960703870393,1.036126891809186
26,0.09030762456115939,-0.21362723410129547,4.734211999262876,0.15137804260988819,1.190177144958498,0.6048215260734092,0.3550254741509211,0.20491336395259496,6.3183889035263485
27,0.12377151463190972,-0.6595329642295837,3.9267454954051924,0.10718506015190707,0.8818626189554881,2.8701914875314696,0.43807339172743004,0.5382280516045279,2.733857408495843
28,0.16371274246552922,1.0863782167434692,2.9159215186310017,0.1675278627889161,0.4565446550469067,3.730552012324714,0.841309165045636,0.20721683735423557,2.958690694728588
29,0.09610169385742415,-0.2694285809993744,2.6679494704712323,0.1486274638532556,0.46055001371258325,1.609978678245843,0.47675461584888507,0.4391110247775199,1.5963646852170301
